country,indicator,dimension,year,observed,expected,z_observed,z_expected,gap
Indonesia,CO2IntElec,LowCarbonContinuity,2022,675.81,711.7649090909081,-1.1818140488451105,-1.5897706983181141,0.4079566494730036
Indonesia,CO2IntElec,LowCarbonContinuity,2023,680.8,715.7770303030293,-1.2384322890893906,-1.6352935926421723,0.3968613035527817
Indonesia,RenCap,LowCarbonContinuity,2020,38.07913724725503,39.136606872168784,-0.8828782603391896,-0.8681081931800102,-0.01477006715917939
Indonesia,RenCap,LowCarbonContinuity,2021,41.67258323644877,40.460085481332456,-0.8326872786383165,-0.8496226807070831,0.016935402068766647
Indonesia,RenCap,LowCarbonContinuity,2022,45.17522541443086,41.82832003049458,-0.7837645871637609,-0.8305120455602037,0.0467474583964429
Indonesia,RenCap,LowCarbonContinuity,2023,47.38745625747869,43.24282402667406,-0.7528655453817434,-0.8107551480302134,0.057889602648469984
Indonesia,RenElec,LowCarbonContinuity,2020,18.13,15.386666666666684,0.05989987206810443,-0.15968852308579093,0.21958839515389536
Indonesia,RenElec,LowCarbonContinuity,2021,18.16,15.28951515151519,0.062301203242326963,-0.16746495515099857,0.22976615839332554
Indonesia,RenElec,LowCarbonContinuity,2022,19.6,15.192363636363666,0.1775650996050044,-0.17524138721620847,0.35280648682121285
Indonesia,RenElec,LowCarbonContinuity,2023,18.59,15.095212121212143,0.09672028340618198,-0.1830178192814184,0.27973810268760035
Malaysia,TDLoss,EnergyServiceSecurity,2020,6.897066593159212,6.922079522042586,0.06089714388083394,0.051698368177699426,0.009198775703134515
Malaysia,TDLoss,EnergyServiceSecurity,2021,6.896992393472499,6.960555564003519,0.060924431619846786,0.03754838671838025,0.02337604490146654
Malaysia,TDLoss,EnergyServiceSecurity,2022,6.897030400751743,6.999245473170159,0.06091045403095743,0.0233197532761312,0.03759070075482623
Malaysia,AccessElec,EnergyServiceSecurity,2020,100.0,99.99399911908846,0.6356363604238807,0.63407202217291,0.0015643382509706871
Malaysia,AccessElec,EnergyServiceSecurity,2021,100.0,99.99636961721765,0.6356363604238807,0.6346899749288499,0.0009463854950307882
Malaysia,AccessElec,EnergyServiceSecurity,2022,100.0,99.9978037298325,0.6356363604238807,0.6350638262437938,0.0005725341800869588
Malaysia,AccessElec,EnergyServiceSecurity,2023,100.0,99.99867133147922,0.6356363604238807,0.6352899967781823,0.00034636364569839984
Malaysia,Inflation,MacroPricePressure,2020,-1.138702153930499,1.922751716343789,1.467445068825301,0.43319468845032355,1.0342503803749774
Malaysia,Inflation,MacroPricePressure,2021,2.477102414654468,1.922751716343789,0.2459184971753636,0.43319468845032355,-0.18727619127495995
Malaysia,Inflation,MacroPricePressure,2022,3.378698625499285,1.922751716343789,-0.05866757974218465,0.43319468845032355,-0.4918622681925082
Malaysia,Inflation,MacroPricePressure,2023,2.488865601257539,1.922751716343789,0.24194454207619434,0.43319468845032355,-0.1912501463741292
Malaysia,CO2IntElec,LowCarbonContinuity,2020,633.7,614.5113333333375,-0.704019640691477,-0.4862984905310537,-0.21772115016042337
Malaysia,CO2IntElec,LowCarbonContinuity,2021,611.44,606.5835757575787,-0.4514500960346282,-0.3963474518491459,-0.05510264418548233
Malaysia,CO2IntElec,LowCarbonContinuity,2022,604.04,598.6558181818218,-0.3674871746302839,-0.30639641316725874,-0.06109076146302517
Malaysia,CO2IntElec,LowCarbonContinuity,2023,607.88,590.7280606060649,-0.4110571230347002,-0.2164453744853716,-0.1946117485493286
Malaysia,RenCap,LowCarbonContinuity,2020,252.666057196733,308.6376508747621,2.1143361697147522,2.896112003416087,-0.7817758337013347
Malaysia,RenCap,LowCarbonContinuity,2021,259.8837380079498,339.10191834436233,2.215148172067904,3.3216176310769256,-1.1064694590090216
Malaysia,RenCap,LowCarbonContinuity,2022,267.9037014980591,372.5731799050129,2.3271659516544734,3.78912305109652,-1.4619570994420465
Malaysia,RenCap,LowCarbonContinuity,2023,265.0640838952058,409.34824274149054,2.287503968262797,4.3027738785821,-2.0152699103193026
Malaysia,RenElec,LowCarbonContinuity,2020,17.58,18.53266666666559,0.015875467207359557,0.09213107271758189,-0.07625560551022234
Malaysia,RenElec,LowCarbonContinuity,2021,19.25,19.826060606059855,0.14954956923907578,0.1956599789581759,-0.04611040971910013
Malaysia,RenElec,LowCarbonContinuity,2022,19.48,21.119454545453664,0.16795977490811453,0.29918888519873355,-0.131229110290619
Malaysia,RenElec,LowCarbonContinuity,2023,19.16,22.412848484847473,0.14234557571640843,0.40271779143929115,-0.2603722157228827
Philippines,TDLoss,EnergyServiceSecurity,2020,9.572993956070954,8.368671250587989,-0.9232041472585251,-0.4803014190900691,-0.44290272816845594
Philippines,TDLoss,EnergyServiceSecurity,2021,9.42778776127873,8.11797790758845,-0.8698029952851877,-0.38810622502566855,-0.4816967702595191
Philippines,TDLoss,EnergyServiceSecurity,2022,9.58884455006053,7.874794377119771,-0.9290333749971639,-0.2986728459156883,-0.6303605290814756
Philippines,AccessElec,EnergyServiceSecurity,2020,96.4,95.24992367272574,-0.3028288060255879,-0.6026361871103203,0.29980738108473237
Philippines,AccessElec,EnergyServiceSecurity,2021,97.5,95.81798908242284,-0.01607556072158464,-0.4545501873143276,0.438474626592743
Philippines,AccessElec,EnergyServiceSecurity,2022,94.8,96.32074326505797,-0.719924435558688,-0.32348982962270423,-0.3964346059359838
Philippines,AccessElec,EnergyServiceSecurity,2023,98.0,96.76509771936664,0.11426682350750844,-0.20765339158788598,0.3219202150953944
Philippines,Inflation,MacroPricePressure,2020,2.393162393162403,2.496498204813162,0.27427593871639,0.23936602106455906,0.034909917651830935
Philippines,Inflation,MacroPricePressure,2021,3.927180221003324,2.496498204813162,-0.24396101312908172,0.23936602106455906,-0.48332703419364076
